

'=============================================================

 C60/C60_cation_neut_inner6_outer0/ReorgPlanes_shareq/C60_cation_neut_inner6_outer0_reorgs_shareq_planes_CENTRE_a.dat 

c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	2.08543589689	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	1.80643587724	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	2.00189329184	1.68012568932	1.75515167789	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	1.60761266571	1.54883506938	1.73431793949	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.99686091059	1.65956856281	1.53136529073	1.53807736977	1.74297087778	[]	[]	[]	[]
2	1	[]	[]	[]	[]	1.60016444729	1.52542591645	1.5195838688	1.53370260014	1.7295140961	[]	[]	[]	[]
3	0	[]	[]	[]	1.99627380158	1.6553059244	1.52166835864	1.51302473448	1.51470555399	1.53099856304	1.74029046254	[]	[]	[]
3	1	[]	[]	[]	1.59726643013	1.51942613287	1.50943519338	1.50803154349	1.51130089644	1.5286058802	1.72745480174	[]	[]	[]
4	0	[]	[]	1.99572043628	1.65273152138	1.5169713648	1.50694977503	1.50445142802	1.50638389331	1.50956836159	1.52721586931	1.73880691016	[]	[]
4	1	[]	[]	1.59564965935	1.51512473039	1.50713775967	1.49501145951	1.49432492397	1.5045232196	1.50603509026	1.52605215292	1.72687564405	[]	[]
5	0	[]	1.9966516923	1.6526896487	1.51321499822	1.49557019937	1.49078158109	1.3085224956	1.5070378659	1.49635296817	1.50478408558	1.52698362143	1.74007631153	[]
5	1	[]	1.59965717079	1.51547746122	1.49498868919	1.42242023823	0.805985902433	0.805461192298	1.42079960095	1.49162816367	1.50586453979	1.53003375351	1.73286845654	[]
6	0	2.02885020145	1.66695937916	1.52115417949	1.50065209929	1.46911958132	0.919324082266	0.0	0.918400264862	1.46711459615	1.49686607544	1.51083324954	1.53979024173	1.7686748134
6	1	1.75683154764	1.53849243247	1.5091806256	1.49342318802	1.42169849856	0.805350480764	0.804881036775	1.42030159477	1.4908529249	1.50428688869	1.52345579214	1.67989255196	2.01627331371
